x,y
0.654,0.576
0.839,0.125
0.751,0.517
0.058,0.317
0.446,0.44
0.818,0.625
0.087,0.85
0.655,0.487
0.319,0.186
0.29,0.962
0.365,0.095
0.805,0.624
0.13,0.361
0.778,0.199
0.763,0.429
0.063,0.517
0.993,0.492
0.963,0.835
0.712,0.2
0.577,0.463
0.31,0.279
0.597,0.504
0.953,0.801
0.61,0.353
0.359,0.978
0.712,0.041
0.925,0.7
0.67,0.287
0.55,0.632
0.134,0.676
0.125,0.996
0.466,0.706
0.308,0.975
0.375,0.923
0.22,0.069
0.083,0.906
0.25,0.014
0.728,0.843
0.003,0.587
0.901,0.022
0.202,0.079
0.903,0.66
0.755,0.798
0.981,0.823
0.046,0.158
0.1,0.157
0.934,0.974
0.018,0.715
0.18,0.866
0.761,0.253
0.711,0.747
0.528,0.073
0.845,0.188
0.6,0.241
0.287,0.384
0.253,0.008
0.03,0.778
0.602,0.215
0.423,0.903
0.429,0.849
0.437,0.64
0.787,0.711
0.829,0.129
0.869,0.26
0.204,0.751
0.877,0.912
0.532,0.316
0.534,0.289
0.903,0.622
0.004,0.395
0.087,0.612
0.964,0.707
0.338,0.944
0.695,0.077
0.534,0.048
0.393,0.357
0.684,0.775
0.387,0.212
0.501,0.802
0.237,0.662
0.391,0.471
0.12,0.359
0.153,0.524
0.072,0.113
0.24,0.951
0.144,0.738
0.516,0.663
0.352,0.999
0.603,0.362
0.747,0.801
0.909,0.019
0.42,0.437
0.696,0.729
0.357,0.725
0.087,0.42
0.445,0.444
0.678,0.051
0.456,0.335
0.944,0.027
0.096,0.288
0.437,0.712
0.912,0.965
0.684,0.677
0.303,0.294
0.354,0.947
0.766,0.16
0.394,0.411
0.214,0.221
0.431,0.315
0.646,0.895
0.919,0.132
0.51,0.341
0.313,0.896
0.371,0.225
0.232,0.302
0.855,0.43
0.607,0.003
0.684,0.499
0.886,0.054
0.052,0.916
0.813,0.077
0.683,0.155
0.017,0.026
0.426,0.062
0.313,0.691
0.699,0.34
0.07,0.465
0.272,0.901
0.008,0.414
0.074,0.293
0.062,0.872
0.538,0.728
0.8,0.625
0.097,0.19
0.149,0.333
0.377,0.868
0.63,0.029
0.128,0.615
0.61,0.57
0.763,0.282
0.898,0.833
0.98,0.684
0.254,0.444
0.33,0.457
0.131,0.489
0.894,0.886
0.678,0.803
0.723,0.51
0.198,0.772
0.467,0.269
0.588,0.449
0.358,0.239
0.647,0.501
0.571,0.936
0.362,0.126
0.059,0.829
0.353,0.147
0.003,0.323
0.962,0.303
0.6,0.617
0.834,0.668
0.525,0.413
0.241,0.205
0.685,0.385
0.211,0.249
0.613,0.943
0.198,0.24
0.422,0.078
0.406,0.151
0.877,0.405
0.965,0.454
0.056,0.717
0.72,0.94
0.745,0.883
0.476,0.899
0.452,0.774
0.939,0.211
0.72,0.354
0.676,0.243
0.136,0.786
0.969,0.049
0.383,0.702
0.659,0.616
0.362,0.37
0.44,0.488
0.188,0.893
0.476,0.27
0.446,0.314
0.315,0.522
0.841,0.38
0.962,0.767
0.109,0.124
0.077,0.121
0.95,0.856
0.981,0.97
0.325,0.367
0.013,0.834
0.569,0.029
0.757,0.941
0.04,0.139
